Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"DOSYMREQ.C",10,0,10,1,1,0.00,0.00,0,0,,,,1,,,,,,,26,2,16,12,4,6,0,2,,14,17,13,0,4,,1,0,,0.38,1
File,"DOTBMS.C",0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,,139,24,102,102,102,12,0,0,,6,6,6,0,0,,0,0,,0.12,0
File,"DPHOOK.H",0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,,17,1,10,0,0,13,0,0,,8,1,1,0,0,,0,0,,1.30,0
File,"DPIFF.C",7,0,7,0,1,0.00,0.00,0,0,,,,1,,,,,,,342,49,202,23,0,86,10,8,,149,27,27,0,0,,1,0,,0.43,1
File,"DPIFF.H",0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,,45,9,17,0,0,11,0,9,,16,17,17,0,0,,0,0,,0.65,0
File,"DPINIT.C",26,4,20,2,3,0.00,0.00,0,0,,,,8,,,,,,,439,77,272,138,108,56,38,21,,236,260,133,6,121,,15,3,,0.21,27
File,"DPINIT2.C",15,1,14,0,1,0.00,0.00,0,0,,,,4,,,,,,,127,21,93,26,4,9,0,4,,81,52,48,0,4,,2,1,,0.10,5
File,"DPIO.C",13,0,13,0,3,0.00,0.00,0,0,,,,15,,,,,,,352,39,266,66,330,23,20,11,,217,208,84,0,124,,6,4,,0.09,41
Function,"DPInit",,,,,,,,,,,,,,,,,,,15,138,33,93,25,62,12,9,2,35,83,100,24,6,70,15,,3,,0.13,
Static Function,"Dash",,,,,,,,,,,,,,,,,,,6,4,0,4,3,2,1,0,0,2,3,4,2,0,2,1,,0,,0.25,
Function,"DecPen",,,,,,,,,,,,,,,,,,,2,2,0,2,1,2,0,0,0,2,2,3,0,0,3,2,,1,,0.00,
Function,"DefaultCursor",,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,,0,,0.00,
Function,"DefaultPaintCursor",,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,0,0,2,1,1,0,0,1,2,,0,,0.00,
Function,"DefaultPalette",,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,3,2,2,0,0,2,1,,0,,0.00,
Function,"DisableAbort",,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,,0,,0.00,
Function,"DispActMenu",,,,,,,,,,,,,,,,,,,4,20,0,20,6,7,0,0,0,5,17,13,5,0,8,2,,1,,0.00,
Function,"DispAndSetMode",,,,,,,,,,,,,,,,,,,3,4,0,4,3,2,0,0,0,3,3,4,2,0,2,1,,0,,0.00,
Function,"DispAvailMem",,,,,,,,,,,,,,,,,,,3,10,0,10,4,4,0,0,0,4,6,9,5,0,4,2,,1,,0.00,
Function,"DispNum",,,,,,,,,,,,,,,,,,,4,8,0,8,5,5,1,0,0,5,8,12,5,0,7,2,,1,,0.13,
Function,"DispPntMode",,,,,,,,,,,,,,,,,,,6,17,0,10,3,2,7,0,0,2,6,4,2,0,2,2,,1,,0.70,
Function,"DispXY",,,,,,,,,,,,,,,,,,,1,11,0,11,2,1,0,0,0,1,7,2,1,0,1,2,,1,,0.00,
Function,"DoBlend",,,,,,,,,,,,,,,,,,,3,24,0,24,8,9,1,0,0,1,21,17,8,1,8,6,,2,,0.04,
Function,"DoBrs",,,,,,,,,,,,,,,,,,,2,30,0,30,3,27,0,0,0,14,42,70,2,0,68,22,,2,,0.00,
Static Function,"DoFontMI",,,,,,,,,,,,,,,,,,,1,4,0,4,3,2,0,0,0,2,3,5,2,0,3,2,,1,,0.00,
Function,"DoMessage",,,,,,,,,,,,,,,,,,,2,79,3,58,7,33,12,4,6,12,48,48,7,0,41,10,,3,,0.21,
Function,"DoMode",,,,,,,,,,,,,,,,,,,1,8,0,8,2,3,0,0,0,2,5,4,1,0,3,2,,1,,0.00,
Function,"DoOpen",,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,3,3,5,2,0,3,1,,0,,0.00,
Static Function,"DoPic",,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,0,0,1,2,1,0,0,1,1,,0,,0.00,
Function,"DoSave",,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,3,3,3,0,0,3,1,,0,,0.00,
Function,"DoSaveAs",,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,3,3,3,0,0,3,1,,0,,0.00,
Function,"DoSelBr",,,,,,,,,,,,,,,,,,,1,32,0,32,10,27,1,0,0,11,28,28,9,0,19,4,,1,,0.03,
Function,"DoShade",,,,,,,,,,,,,,,,,,,7,18,0,18,8,15,0,0,0,2,20,25,8,2,15,8,,1,,0.00,
Function,"DoSmear",,,,,,,,,,,,,,,,,,,6,8,0,8,3,6,1,0,0,6,9,10,2,0,8,3,,1,,0.13,
Function,"DoSymReq",,,,,,,,,,,,,,,,,,,0,10,0,10,7,4,1,0,0,5,8,10,6,0,4,1,,0,,0.10,
Function,"DoText",,,,,,,,,,,,,,,,,,,4,4,0,4,3,2,0,0,0,4,4,4,2,0,2,1,,0,,0.00,
Static Function,"DoTextChar",,,,,,,,,,,,,,,,,,,2,27,0,27,7,22,0,0,0,11,37,49,6,5,38,11,,2,,0.00,
Function,"DotBFromRad",,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,1,2,1,0,0,1,1,,0,,0.00,
Function,"DotInfo",,,,,,,,,,,,,,,,,,,1,5,0,5,2,3,0,0,0,3,4,4,1,0,4,2,,1,,0.00,
Function,"DotsPen",,,,,,,,,,,,,,,,,,,4,9,0,9,3,8,0,0,0,5,8,8,2,0,6,4,,0,,0.00,
Static Function,"DrawBox",,,,,,,,,,,,,,,,,,,8,10,1,9,3,7,1,0,0,2,8,7,2,0,5,1,,0,,0.11,
Static Function,"DrawBoxAround",,,,,,,,,,,,,,,,,,,6,3,0,3,1,1,1,0,0,1,2,1,0,0,1,1,,0,,0.33,
Static Function,"DrawColorsBorder",,,,,,,,,,,,,,,,,,,5,5,0,5,1,3,0,0,0,4,4,3,0,0,3,1,,0,,0.00,
Static Function,"DrawInRange",,,,,,,,,,,,,,,,,,,4,1,0,1,1,1,0,0,0,2,3,2,0,0,2,1,,0,,0.00,
Static Function,"DrawRange",,,,,,,,,,,,,,,,,,,5,14,2,12,2,7,1,0,0,4,9,20,1,4,15,5,,1,,0.08,
Static Function,"DrawWhich",,,,,,,,,,,,,,,,,,,6,65,10,50,3,61,10,0,0,6,37,50,5,0,45,13,,2,,0.20,
Function,"Dubl",,,,,,,,,,,,,,,,,,,2,3,0,3,1,2,0,0,0,3,2,4,1,0,3,3,,1,,0.00,
Function,"DupBitMap",,,,,,,,,,,,,,,,,,,5,4,0,4,2,1,0,0,0,2,3,2,1,0,1,1,,0,,0.00,
Function,"EnableAbort",,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,,0,,0.00,
Function,"EncloseBox",,,,,,,,,,,,,,,,,,,5,12,0,12,1,4,1,0,0,2,9,4,0,0,4,4,,1,,0.08,
Function,"EndCycPaint",,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,0,0,2,1,2,1,0,1,1,,0,,0.00,
Function,"EraseBox",,,,,,,,,,,,,,,,,,,3,4,0,4,2,1,0,0,0,4,4,4,1,0,3,2,,1,,0.00,
Function,"EraseTempChg",,,,,,,,,,,,,,,,,,,3,7,0,7,2,4,1,0,0,5,4,6,1,0,5,2,,1,,0.14,
Static Function,"EventHandler",,,,,,,,,,,,,,,,,,,11,91,10,76,6,68,17,0,0,24,50,72,8,1,63,19,,3,,0.22,
Function,"ExtractBMOB",,,,,,,,,,,,,,,,,,,7,30,2,22,5,13,9,0,0,5,21,22,5,0,17,3,,1,,0.41,
Function,"FCircTypeOps",,,,,,,,,,,,,,,,,,,4,4,0,4,1,1,0,0,0,2,3,1,0,0,1,1,,0,,0.00,
File,"FILL.C",1,0,1,0,1,0.00,0.00,0,0,,,,2,,,,,,,198,35,110,38,2,28,13,15,,110,26,24,0,2,,1,0,,0.25,2
